id,item_id,fling_effect_id,effect,short_effect,flavor_text
1177,1177,,当携带它的精灵能力下降时， 同行精灵就会自动替换上场。,当携带它的精灵能力下降时， 同行精灵就会自动替换上场。,当携带它的精灵能力下降时， 同行精灵就会自动替换上场。
1178,1178,,不受脚下陷阱等的影响。,不受脚下陷阱等的影响。,不受脚下陷阱等的影响。
1179,1179,,技能因命中率影响而落空时， 速度会大幅提高。,技能因命中率影响而落空时， 速度会大幅提高。,技能因命中率影响而落空时， 速度会大幅提高。
1180,1180,,让精灵携带后， 在戏法空间使用时， 速度会下降。,让精灵携带后， 在戏法空间使用时， 速度会下降。,让精灵携带后， 在戏法空间使用时， 速度会下降。
1181,1181,,携带它的精灵 在下雨或日照很强时， 不会受到天气的影响。,携带它的精灵 在下雨或日照很强时， 不会受到天气的影响。,携带它的精灵 在下雨或日照很强时， 不会受到天气的影响。
1311,1311,,这个神奇的茶壶 可以使特定的精灵进化。 虽然有破损，但泡出来的茶依旧清香。,这个神奇的茶壶 可以使特定的精灵进化。 虽然有破损，但泡出来的茶依旧清香。,这个神奇的茶壶 可以使特定的精灵进化。 虽然有破损，但泡出来的茶依旧清香。
1312,1312,,这个神奇的茶壶 可以使特定的精灵进化。 虽然有缺陷，但泡出来的茶依旧清香。,这个神奇的茶壶 可以使特定的精灵进化。 虽然有缺陷，但泡出来的茶依旧清香。,这个神奇的茶壶 可以使特定的精灵进化。 虽然有缺陷，但泡出来的茶依旧清香。
1633,1633,,用伽勒豆蔻枝编织的手环。 给伽勒尔地区的呆呆兽戴上， 它就会很开心。,用伽勒豆蔻枝编织的手环。 给伽勒尔地区的呆呆兽戴上， 它就会很开心。,用伽勒豆蔻枝编织的手环。 给伽勒尔地区的呆呆兽戴上， 它就会很开心。
1643,1643,,用伽勒豆蔻枝编织的花环头饰。 给伽勒尔地区的呆呆兽戴上这种头饰， 它就会很开心。,用伽勒豆蔻枝编织的花环头饰。 给伽勒尔地区的呆呆兽戴上这种头饰， 它就会很开心。,用伽勒豆蔻枝编织的花环头饰。 给伽勒尔地区的呆呆兽戴上这种头饰， 它就会很开心。
1659,1659,,暂无说明。,暂无说明。,
1660,1660,,暂无说明。,暂无说明。,
1661,1661,,暂无说明。,暂无说明。,
1675,1675,,暂无说明。,暂无说明。,
1676,1676,,暂无说明。,暂无说明。,
1677,1677,,暂无说明。,暂无说明。,
1696,1696,,暂无说明。,暂无说明。,
1697,1697,,暂无说明。,暂无说明。,
1698,1698,,暂无说明。,暂无说明。,
1699,1699,,暂无说明。,暂无说明。,
1700,1700,,暂无说明。,暂无说明。,
1701,1701,,暂无说明。,暂无说明。,
1702,1702,,暂无说明。,暂无说明。,
2045,2045,,暂无说明。,暂无说明。,
2105,2105,,暂无说明。,暂无说明。,
2106,2106,,暂无说明。,暂无说明。,
2107,2107,,暂无说明。,暂无说明。,
2108,2108,,暂无说明。,暂无说明。,
2109,2109,,暂无说明。,暂无说明。,
2110,2110,,暂无说明。,暂无说明。,
2111,2111,,暂无说明。,暂无说明。,
2230,2230,,暂无说明。,暂无说明。,
2231,2231,,暂无说明。,暂无说明。,
2232,2232,,暂无说明。,暂无说明。,
